1	0	1	200	400
1	1	0	200	400
1	2	0	200	400
1	3	1	200	400
1	4	0	200	400
2	0	1	200	400
2	1	0	200	400
2	2	0	200	400
2	3	1	200	400
2	4	0	200	400
3	0	0	194	401
3	1	0	194	401
3	2	1	205	390
3	3	0	194	401
3	4	0	194	401
4	0	0	188	402
4	1	0	188	402
4	2	0	199	391
4	3	0	188	402
4	4	0	188	402
5	0	0	182	403
5	1	0	182	403
5	2	0	193	392
5	3	1	193	392
5	4	0	182	403
6	0	1	187	393
6	1	0	176	404
6	2	1	198	382
6	3	0	187	393
6	4	1	187	393
7	0	0	181	394
7	1	0	170	405
7	2	0	192	383
7	3	0	181	394
7	4	0	181	394
8	0	1	186	384
8	1	0	164	406
8	2	0	186	384
8	3	1	186	384
8	4	1	186	384
9	0	0	180	385
9	1	0	158	407
9	2	0	180	385
9	3	0	180	385
9	4	0	180	385
10	0	0	174	386
10	1	1	163	397
10	2	1	185	375
10	3	0	174	386
10	4	0	174	386
11	0	0	168	387
11	1	0	157	398
11	2	1	190	365
11	3	1	179	376
11	4	0	168	387
12	0	0	162	388
12	1	0	151	399
12	2	1	195	355
12	3	0	173	377
12	4	1	173	377
13	0	0	156	389
13	1	0	145	400
13	2	0	189	356
13	3	0	167	378
13	4	0	167	378
14	0	0	150	390
14	1	0	139	401
14	2	0	183	357
14	3	0	161	379
14	4	0	161	379
15	0	0	144	391
15	1	1	144	391
15	2	1	188	347
15	3	0	155	380
15	4	1	166	369
16	0	1	149	381
16	1	0	138	392
16	2	0	182	348
16	3	0	149	381
16	4	0	160	370
17	0	0	143	382
17	1	0	132	393
17	2	0	176	349
17	3	0	143	382
17	4	1	165	360
18	0	0	137	383
18	1	1	137	383
18	2	0	170	350
18	3	0	137	383
18	4	0	159	361
19	0	0	131	384
19	1	0	131	384
19	2	0	164	351
19	3	0	131	384
19	4	0	153	362
20	0	0	125	385
20	1	0	125	385
20	2	0	158	352
20	3	1	136	374
20	4	0	147	363
21	0	1	130	375
21	1	0	119	386
21	2	0	152	353
21	3	0	130	375
21	4	0	141	364
22	0	0	124	376
22	1	0	113	387
22	2	1	157	343
22	3	0	124	376
22	4	0	135	365
23	0	1	129	366
23	1	0	107	388
23	2	0	151	344
23	3	0	118	377
23	4	0	129	366
24	0	0	123	367
24	1	1	112	378
24	2	0	145	345
24	3	0	112	378
24	4	1	134	356
25	0	1	128	357
25	1	0	106	379
25	2	1	150	335
25	3	1	117	368
25	4	0	128	357
26	0	0	122	358
26	1	0	100	380
26	2	0	144	336
26	3	0	111	369
26	4	1	133	347
27	0	0	116	359
27	1	0	94	381
27	2	0	138	337
27	3	1	116	359
27	4	1	138	337
28	0	0	110	360
28	1	0	88	382
28	2	0	132	338
28	3	0	110	360
28	4	0	132	338
